228/250 [==========================>...] - ETA: 4s - loss: 0.0118 - accuracy: 0.9956
229/250 [==========================>...] - ETA: 4s - loss: 0.0117 - accuracy: 0.9956
230/250 [==========================>...] - ETA: 4s - loss: 0.0117 - accuracy: 0.9957
231/250 [==========================>...] - ETA: 3s - loss: 0.0116 - accuracy: 0.9957
232/250 [==========================>...] - ETA: 3s - loss: 0.0116 - accuracy: 0.9957
233/250 [==========================>...] - ETA: 3s - loss: 0.0115 - accuracy: 0.9957
234/250 [===========================>..] - ETA: 3s - loss: 0.0115 - accuracy: 0.9957
235/250 [===========================>..] - ETA: 3s - loss: 0.0114 - accuracy: 0.9957
236/250 [===========================>..] - ETA: 2s - loss: 0.0114 - accuracy: 0.9958
237/250 [===========================>..] - ETA: 2s - loss: 0.0113 - accuracy: 0.9958
238/250 [===========================>..] - ETA: 2s - loss: 0.0113 - accuracy: 0.9958
239/250 [===========================>..] - ETA: 2s - loss: 0.0112 - accuracy: 0.9958
240/250 [===========================>..] - ETA: 2s - loss: 0.0112 - accuracy: 0.9958
241/250 [===========================>..] - ETA: 1s - loss: 0.0111 - accuracy: 0.9959
242/250 [============================>.] - ETA: 1s - loss: 0.0111 - accuracy: 0.9959
243/250 [============================>.] - ETA: 1s - loss: 0.0110 - accuracy: 0.9959
244/250 [============================>.] - ETA: 1s - loss: 0.0110 - accuracy: 0.9959
245/250 [============================>.] - ETA: 1s - loss: 0.0110 - accuracy: 0.9959
246/250 [============================>.] - ETA: 0s - loss: 0.0109 - accuracy: 0.9959
247/250 [============================>.] - ETA: 0s - loss: 0.0109 - accuracy: 0.9960
248/250 [============================>.] - ETA: 0s - loss: 0.0108 - accuracy: 0.9960
249/250 [============================>.] - ETA: 0s - loss: 0.0108 - accuracy: 0.9960
250/250 [==============================] - 452s 2s/step - loss: 0.0107 - accuracy: 0.9960 - val_loss: 1.5484e-08 - val_accuracy: 1.0000
Epoch 2/25

  1/250 [..............................] - ETA: 3s - loss: 2.0467e-08 - accuracy: 1.0000
